budget,workload,method,metric,mean,median,p25,p75,n
k64,Code,Ada-KV,entropy_shift,0.08496910169815874,0.06476691799071221,0.026347831709804526,0.12273510413775757,2048
k64,Code,Ada-KV,top5_shift,0.12126529052776375,0.06430438128242749,0.017215315359693978,0.18731309787532455,2048
k64,Code,Ada-KV,top1_shift,0.0941195035532308,0.05704433039982887,0.021367221619535,0.12575178699045056,2048
k64,Code,Ada-KV,support_rel_shift,0.4653143699712797,0.4447606161008951,0.14798388870451598,0.7822057458425076,2048
k64,Code,DynamicKV,entropy_shift,0.09038791027468349,0.07036331044552645,0.028555724892932788,0.13397909342083322,2048
k64,Code,DynamicKV,top5_shift,0.11454183062638523,0.05996021934642557,0.018173496845148934,0.1624789252006878,2048
k64,Code,DynamicKV,top1_shift,0.08921593950221479,0.04804268874925477,0.01776627088982813,0.11794515999980044,2048
k64,Code,DynamicKV,support_rel_shift,0.4739687088174018,0.44738932918956387,0.17549894596119603,0.7707432593020511,2048
k64,Code,SnapKV,entropy_shift,0.09327725591798355,0.07181375424239952,0.027535626418509835,0.1365703954420836,2048
k64,Code,SnapKV,top5_shift,0.1261885339574599,0.06666362652813851,0.018151489347374428,0.20303962368739709,2048
k64,Code,SnapKV,top1_shift,0.09495638121973374,0.05575661123461792,0.018617125374872118,0.1346484028554433,2048
k64,Code,SnapKV,support_rel_shift,0.48639016985914646,0.4769565646618894,0.17150669612056307,0.802349294098844,2048
k64,Code,SurrogateKV-Ada,entropy_shift,0.08038387680875737,0.05488500637718936,0.023187204920018523,0.11532360135896441,2048
k64,Code,SurrogateKV-Ada,top5_shift,0.15507305599666943,0.0932274400402317,0.026452183233627052,0.23904098262887194,2048
k64,Code,SurrogateKV-Ada,top1_shift,0.125891502635456,0.07534014010294915,0.02274311242473953,0.17585442495479223,2048
k64,Code,SurrogateKV-Ada,support_rel_shift,0.5260166527573873,0.5480742210395955,0.21386108585415164,0.8488078409877235,2048
k64,Code,SurrogateKV-Ada,js_to_fullkv,0.12271667058112422,0.0544609677194762,0.01943224507671753,0.17827725486758939,2048
k64,Code,SurrogateKV-Ada,l1_to_fullkv,0.5317671165466129,0.31438101916159417,0.12367904436380067,0.8237953562811466,2048
k64,Code,SurrogateKV-Dynamic,entropy_shift,0.09125802527236238,0.06576789790889669,0.027744469161567517,0.13293159803000754,2048
k64,Code,SurrogateKV-Dynamic,top5_shift,0.1317571165311956,0.07139040127170715,0.020020884878012096,0.20251373622219407,2048
k64,Code,SurrogateKV-Dynamic,top1_shift,0.10984405913372518,0.06277855005782063,0.01950429177531568,0.14998906272756463,2048
k64,Code,SurrogateKV-Dynamic,support_rel_shift,0.4990882164838517,0.49662742764260137,0.18314066453567565,0.8133968866240445,2048
k64,Code,SurrogateKV-Dynamic,js_to_fullkv,0.10241551194415323,0.04824732918709684,0.01678387011285275,0.14057712950341633,2048
k64,Code,SurrogateKV-Dynamic,l1_to_fullkv,0.468342737270557,0.28302725026094133,0.11561756693205208,0.6931077354744867,2048
k64,Code,SurrogateKV-Snap,entropy_shift,0.08862647804392629,0.06555132522604892,0.027942807102595436,0.12951593344287288,2048
k64,Code,SurrogateKV-Snap,top5_shift,0.13080686938196517,0.07218671280337824,0.01973511458038668,0.19780635431544613,2048
k64,Code,SurrogateKV-Snap,top1_shift,0.10514555091512123,0.06035698738455225,0.019791790380423252,0.14388456443271885,2048
k64,Code,SurrogateKV-Snap,support_rel_shift,0.4954416539995805,0.491665089318686,0.17801089412242205,0.8099809354579606,2048
k64,Code,SurrogateKV-Snap,js_to_fullkv,0.10412853859861769,0.049785128008530424,0.016997515176217975,0.14220399385824462,2048
k64,Code,SurrogateKV-Snap,l1_to_fullkv,0.4743123164482975,0.2892287720995784,0.11503306638825773,0.6941467481795208,2048
k64,Few-shot,Ada-KV,entropy_shift,0.10830048134239734,0.08027385927288422,0.03207617388902054,0.15431628494223035,3072
k64,Few-shot,Ada-KV,top5_shift,0.12603620413850117,0.06431625340758101,0.02275137593224874,0.16276314196832412,3072
k64,Few-shot,Ada-KV,top1_shift,0.11998554690580505,0.06786241042262788,0.02610049636606973,0.1553180468303455,3072
k64,Few-shot,Ada-KV,support_rel_shift,0.49108181631033193,0.4634551645413002,0.1934591158031461,0.774267514583464,3072
k64,Few-shot,DynamicKV,entropy_shift,0.1124796119853778,0.08717222762139885,0.03433036213696489,0.16847271862034038,3072
k64,Few-shot,DynamicKV,top5_shift,0.10693688105157821,0.05864841960434625,0.022738135201519544,0.13838403466404547,3072
k64,Few-shot,DynamicKV,top1_shift,0.1010876195974495,0.056004661189340006,0.02228272369681622,0.13476104458077676,3072
k64,Few-shot,DynamicKV,support_rel_shift,0.49094127712089497,0.4627949454293627,0.22521763534926947,0.752493045335895,3072
k64,Few-shot,SnapKV,entropy_shift,0.11541544790016685,0.08391736687660453,0.03180339251062205,0.17397503873076836,3072
k64,Few-shot,SnapKV,top5_shift,0.12943702515044164,0.06881365009473156,0.025565756447494203,0.17325490476541863,3072
k64,Few-shot,SnapKV,top1_shift,0.13155844776772618,0.07363774790143096,0.02693244007545839,0.17520256967270492,3072
k64,Few-shot,SnapKV,support_rel_shift,0.5284638410742656,0.513162304591451,0.2604977567996751,0.798567818877447,3072
k64,Few-shot,SurrogateKV-Ada,entropy_shift,0.0998873679624183,0.06677534198477875,0.026499845026445003,0.1386770260146104,3072
k64,Few-shot,SurrogateKV-Ada,top5_shift,0.16669803465292402,0.11249357504877061,0.04295479867096441,0.24282407236938597,3072
k64,Few-shot,SurrogateKV-Ada,top1_shift,0.15762653497525128,0.10305527029249484,0.03896388042678148,0.2258548430922464,3072
k64,Few-shot,SurrogateKV-Ada,support_rel_shift,0.5914052063778399,0.6175968858643477,0.3570086238963945,0.8411094350899512,3072
k64,Few-shot,SurrogateKV-Ada,js_to_fullkv,0.1269893051196643,0.07766816279373093,0.027398106171827495,0.18647989840065674,3072
k64,Few-shot,SurrogateKV-Ada,l1_to_fullkv,0.5673152906963762,0.4188980375091469,0.160528235022814,0.8704083740261178,3072
k64,Few-shot,SurrogateKV-Dynamic,entropy_shift,0.11594839677403938,0.08372609420783736,0.028492417606712957,0.1716876383515067,3072
k64,Few-shot,SurrogateKV-Dynamic,top5_shift,0.13325902440026466,0.07190810568010536,0.027697492683538827,0.17957927757569508,3072
k64,Few-shot,SurrogateKV-Dynamic,top1_shift,0.1360172315703182,0.0748474825454131,0.028560869437971648,0.1826855277269074,3072
k64,Few-shot,SurrogateKV-Dynamic,support_rel_shift,0.5328140836822676,0.5192723266319792,0.2704480442694617,0.8084001557352976,3072
k64,Few-shot,SurrogateKV-Dynamic,js_to_fullkv,0.08823393399494238,0.04113585428250807,0.016398366234640728,0.10859591836294916,3072
k64,Few-shot,SurrogateKV-Dynamic,l1_to_fullkv,0.43268001806717393,0.271327744257448,0.11316404625786913,0.607398241518315,3072
k64,Few-shot,SurrogateKV-Snap,entropy_shift,0.11531843924794444,0.08399036003542222,0.0299193333434338,0.17333661004804632,3072
k64,Few-shot,SurrogateKV-Snap,top5_shift,0.1334163059095282,0.07070964751857933,0.02797996046631787,0.17830766155271455,3072
k64,Few-shot,SurrogateKV-Snap,top1_shift,0.1340685253874814,0.0749156919747983,0.02858358312320644,0.17941016489217024,3072
k64,Few-shot,SurrogateKV-Snap,support_rel_shift,0.5319597819452218,0.514024478548317,0.26718364356757934,0.8051402263851726,3072
k64,Few-shot,SurrogateKV-Snap,js_to_fullkv,0.08910372970814791,0.04196841368138951,0.01682436217502532,0.10926361423249278,3072
k64,Few-shot,SurrogateKV-Snap,l1_to_fullkv,0.43651394174127184,0.2755908849659295,0.11721706574947258,0.6061231299551504,3072
k64,Multi QA,Ada-KV,entropy_shift,0.10810772037049073,0.08990846000381128,0.04072066308774768,0.15647566753998132,3072
k64,Multi QA,Ada-KV,top5_shift,0.1077314795061205,0.05362075592447024,0.018642303761658763,0.1397951771301794,3072
k64,Multi QA,Ada-KV,top1_shift,0.09221022133402505,0.05131544601502411,0.02121787622702359,0.11483109060361925,3072
k64,Multi QA,Ada-KV,support_rel_shift,0.45735126395319875,0.4240342974136611,0.17142818106315766,0.7333175065183994,3072
k64,Multi QA,DynamicKV,entropy_shift,0.1206771909770916,0.1027715312067647,0.047223782849947646,0.18115076241887887,3072
k64,Multi QA,DynamicKV,top5_shift,0.09972767378287768,0.055926567361680335,0.020799053344405655,0.13697485837452125,3072
k64,Multi QA,DynamicKV,top1_shift,0.09107491942840511,0.0571338327272307,0.023150066222346916,0.11957353339187984,3072
k64,Multi QA,DynamicKV,support_rel_shift,0.48648584888146323,0.4647490660919784,0.2235243483395345,0.7518824910152251,3072
k64,Multi QA,SnapKV,entropy_shift,0.11932101354730873,0.09524793797592118,0.04392041837714225,0.17842663021099087,3072
k64,Multi QA,SnapKV,top5_shift,0.11461893548662379,0.0570188398647552,0.01976323745938391,0.1536297966089048,3072
k64,Multi QA,SnapKV,top1_shift,0.10048911802237455,0.05692695039134718,0.023149139969459734,0.1255470349579215,3072
k64,Multi QA,SnapKV,support_rel_shift,0.4939100094576805,0.4761971220020601,0.22271943111952416,0.7676935010050907,3072
k64,Multi QA,SurrogateKV-Ada,entropy_shift,0.08628393972553496,0.0684948553086056,0.030061687219046736,0.11868830474468946,3072
k64,Multi QA,SurrogateKV-Ada,top5_shift,0.1604702184815153,0.11567141069378106,0.05229317413812537,0.23133869006716457,3072
k64,Multi QA,SurrogateKV-Ada,top1_shift,0.12391753061467727,0.08567913259650067,0.034269560839660124,0.1710383392085718,3072
k64,Multi QA,SurrogateKV-Ada,support_rel_shift,0.5860602039457145,0.6112517639216593,0.36595563238040246,0.8277044055105576,3072
k64,Multi QA,SurrogateKV-Ada,js_to_fullkv,0.11950895646135051,0.07827206809953818,0.03248247230742652,0.16636185097585932,3072
k64,Multi QA,SurrogateKV-Ada,l1_to_fullkv,0.5342519257989741,0.40827500721000043,0.18588950972755441,0.7703158469744931,3072
k64,Multi QA,SurrogateKV-Dynamic,entropy_shift,0.12101147175871717,0.09598519373346823,0.042665698113749234,0.17891248289566156,3072
k64,Multi QA,SurrogateKV-Dynamic,top5_shift,0.11585222632662028,0.06073985973648438,0.020744455489369346,0.15980448360064298,3072
k64,Multi QA,SurrogateKV-Dynamic,top1_shift,0.10446258369620672,0.058901701791792105,0.02323082914131258,0.12991019881537663,3072
k64,Multi QA,SurrogateKV-Dynamic,support_rel_shift,0.5022239940216168,0.4856203986835422,0.23207587633588905,0.7740236122890672,3072
k64,Multi QA,SurrogateKV-Dynamic,js_to_fullkv,0.08015951667702342,0.0352025885781761,0.01575379524732417,0.09237675890913682,3072
k64,Multi QA,SurrogateKV-Dynamic,l1_to_fullkv,0.38653717770013296,0.23522584098000746,0.1115524743480526,0.4934828659898197,3072
k64,Multi QA,SurrogateKV-Snap,entropy_shift,0.11947954915453673,0.09524334980778534,0.04247183264051575,0.17895593149183303,3072
k64,Multi QA,SurrogateKV-Snap,top5_shift,0.11840544118031977,0.06082448284296654,0.02135558182649916,0.15949980275163878,3072
k64,Multi QA,SurrogateKV-Snap,top1_shift,0.10714807008582272,0.060772024348513976,0.023446685996942274,0.13560300701218442,3072
k64,Multi QA,SurrogateKV-Snap,support_rel_shift,0.5048934545130886,0.486624333381665,0.23512634047808356,0.7771653591368952,3072
k64,Multi QA,SurrogateKV-Snap,js_to_fullkv,0.08109796420690497,0.03562788699692901,0.0157988959974428,0.09242846528362915,3072
k64,Multi QA,SurrogateKV-Snap,l1_to_fullkv,0.390844411447501,0.23759593268822615,0.11376911515519551,0.4947064675395221,3072
k64,Single QA,Ada-KV,entropy_shift,0.10300941928460172,0.0781958486827807,0.032939174447725796,0.14442997191133178,3072
k64,Single QA,Ada-KV,top5_shift,0.14464288251506158,0.07998544108299604,0.025464345279995554,0.2121083642722814,3072
k64,Single QA,Ada-KV,top1_shift,0.1292504023299064,0.07217844276751578,0.026879835630503363,0.1723942769554217,3072
k64,Single QA,Ada-KV,support_rel_shift,0.5283640212740354,0.5394191071307572,0.22164440952863199,0.8345610681731755,3072
k64,Single QA,DynamicKV,entropy_shift,0.09926354648307423,0.07857336469968226,0.032706523001597314,0.14547302867744477,3072
k64,Single QA,DynamicKV,top5_shift,0.132541456539971,0.08515828230302502,0.0280943701145685,0.19998176691562275,3072
k64,Single QA,DynamicKV,top1_shift,0.11713234535271293,0.07076212919493002,0.026224683243863983,0.16410515025488848,3072
k64,Single QA,DynamicKV,support_rel_shift,0.5517626248364265,0.5755111496513242,0.2880420619349507,0.8245527722926588,3072
k64,Single QA,SnapKV,entropy_shift,0.11054155117973712,0.0823604906923988,0.032931354195987694,0.15780409674238918,3072
k64,Single QA,SnapKV,top5_shift,0.1520569418945826,0.08599864992982309,0.027217128589615724,0.22874192756550377,3072
k64,Single QA,SnapKV,top1_shift,0.14853417130896612,0.0800188171604218,0.02958766279079439,0.2036532344672411,3072
k64,Single QA,SnapKV,support_rel_shift,0.5629510530293058,0.5850599168885141,0.2749249464214466,0.855774166015636,3072
k64,Single QA,SurrogateKV-Ada,entropy_shift,0.09653924070939895,0.06636920131546828,0.025426036955893447,0.1330546275754319,3072
k64,Single QA,SurrogateKV-Ada,top5_shift,0.17082290654228727,0.11785822340493274,0.04687105346263301,0.2547228587362981,3072
k64,Single QA,SurrogateKV-Ada,top1_shift,0.14605375340142346,0.09044156544257992,0.036372606659407156,0.20272273233912425,3072
k64,Single QA,SurrogateKV-Ada,support_rel_shift,0.6050395634966149,0.6376458167662138,0.3691063838225765,0.8656118563608959,3072
k64,Single QA,SurrogateKV-Ada,js_to_fullkv,0.12044710556905308,0.07550843959031137,0.026258358100099324,0.17327179363597509,3072
k64,Single QA,SurrogateKV-Ada,l1_to_fullkv,0.5464167010674035,0.41583054191783575,0.164209671755569,0.821207270377374,3072
k64,Single QA,SurrogateKV-Dynamic,entropy_shift,0.11034385818016286,0.0793907494241527,0.030007451451668735,0.15902172781276128,3072
k64,Single QA,SurrogateKV-Dynamic,top5_shift,0.15688946578926,0.09158955018391635,0.030844820744479196,0.23783730822922963,3072
k64,Single QA,SurrogateKV-Dynamic,top1_shift,0.14906070164419338,0.0813766577986266,0.029608561890184154,0.20372997877249044,3072
k64,Single QA,SurrogateKV-Dynamic,support_rel_shift,0.5744616527500815,0.5935134213635207,0.2950045750737143,0.8629056383738769,3072
k64,Single QA,SurrogateKV-Dynamic,js_to_fullkv,0.11374157394843314,0.062318884730020174,0.021467193705100432,0.15951150735188696,3072
k64,Single QA,SurrogateKV-Dynamic,l1_to_fullkv,0.5215855800902894,0.36022224736036945,0.14565808327390442,0.7818626948137417,3072
k64,Single QA,SurrogateKV-Snap,entropy_shift,0.10568137187247735,0.07668047757456538,0.03048475886360738,0.15332556054360952,3072
k64,Single QA,SurrogateKV-Snap,top5_shift,0.15484099360667428,0.09034671194800414,0.030518525362265236,0.23148014764010277,3072
k64,Single QA,SurrogateKV-Snap,top1_shift,0.14249402340812745,0.08229124905626045,0.02907049185276428,0.1954763847907868,3072
k64,Single QA,SurrogateKV-Snap,support_rel_shift,0.5731372804355722,0.5936143713001166,0.2977909237008633,0.8599137281465825,3072
k64,Single QA,SurrogateKV-Snap,js_to_fullkv,0.11095305898554562,0.06083557689176275,0.02119626919515465,0.15697747397002185,3072
k64,Single QA,SurrogateKV-Snap,l1_to_fullkv,0.512586575007924,0.35972481140055257,0.14277133060510985,0.7651102698214708,3072
k64,Summ.,Ada-KV,entropy_shift,0.08320237394921635,0.0666941304350131,0.026658478208497885,0.12339530621061923,3072
k64,Summ.,Ada-KV,top5_shift,0.10809174287569467,0.05490474458083888,0.014869494954168977,0.16363994851635885,3072
