input_tokens,output_tokens,method,ttft_s,decode_tokens_per_s,end_to_end_latency_s,prefill_resident_kv_gb,decode_resident_kv_gb
8192,2048,FullKV,0.80,32.67,63.45,1.000,1.250
8192,2048,SnapKV,0.76,32.86,63.06,0.016,0.266
8192,2048,SurrogateKV-Snap,0.94,32.99,63.00,0.016,0.266
8192,2048,DynamicKV,0.79,32.87,63.06,0.016,0.266
8192,2048,SurrogateKV-Dynamic,0.95,32.18,64.55,0.016,0.266
8192,2048,Ada-KV,0.78,32.83,63.14,0.016,0.266
8192,2048,SurrogateKV-Ada,0.91,32.78,63.35,0.016,0.266
16384,4096,FullKV,1.67,32.19,128.90,2.000,2.500
16384,4096,SnapKV,1.70,32.70,126.93,0.016,0.516
16384,4096,SurrogateKV-Snap,1.88,32.72,127.05,0.016,0.516
16384,4096,DynamicKV,1.72,32.61,127.31,0.016,0.516
16384,4096,SurrogateKV-Dynamic,1.89,32.76,126.90,0.016,0.516
16384,4096,Ada-KV,1.71,32.97,125.94,0.016,0.516
16384,4096,SurrogateKV-Ada,1.91,32.80,126.75,0.016,0.516
32768,8192,FullKV,4.07,29.31,283.57,4.000,5.000
32768,8192,SnapKV,4.13,32.66,254.91,0.016,1.016
32768,8192,SurrogateKV-Snap,4.42,32.70,254.93,0.016,1.016
32768,8192,DynamicKV,4.15,32.63,255.20,0.016,1.016
32768,8192,SurrogateKV-Dynamic,4.45,32.69,255.02,0.016,1.016
32768,8192,Ada-KV,4.15,33.00,252.36,0.016,1.016
32768,8192,SurrogateKV-Ada,4.44,32.75,254.54,0.016,1.016
