Method,method,K,narrativeqa,qasper,multifieldqa_en,hotpotqa,2wikimqa,musique,gov_report,qmsum,multi_news,trec,triviaqa,samsum,passage_retrieval_en,passage_count,lcc,repobench-p,Avg
FullKV,FullKV,FullKV,25.56,32.15,39.71,43.56,35.72,21.18,28.76,23.21,26.62,74.0,90.48,42.59,69.25,4.71,59.19,54.05,41.92
H2O,H2O,64,19.31,11.33,20.54,34.0,29.85,18.48,19.54,21.92,22.12,40.0,84.3,37.07,69.25,5.3,54.08,49.32,33.53
H2O,H2O,128,23.45,14.55,25.29,35.68,29.09,18.05,21.54,21.59,23.75,46.5,88.23,38.46,68.75,5.5,56.56,52.0,35.56
H2O,H2O,256,23.41,18.22,28.6,38.2,33.24,17.38,22.94,21.98,24.83,59.5,88.46,40.06,68.83,5.02,59.98,54.28,37.81
H2O,H2O,512,23.39,23.16,31.76,41.11,31.63,18.42,24.68,22.36,25.57,69.0,90.37,40.87,69.5,5.38,60.01,57.67,39.68
H2O,H2O,1024,24.9,27.2,35.04,41.8,31.72,18.54,25.97,22.57,26.16,73.0,91.32,41.18,69.25,5.32,59.38,57.47,40.68
H2O,H2O,2048,26.09,28.86,37.18,43.29,34.09,19.98,27.53,23.03,26.6,73.5,90.93,41.8,69.5,5.38,59.3,57.16,41.51
SnapKV,SnapKV,64,19.77,9.02,27.51,35.97,27.85,18.03,16.14,20.71,16.32,38.5,86.4,36.34,68.83,4.78,53.84,51.83,33.24
SnapKV,SnapKV,128,20.98,13.85,31.8,36.61,29.85,19.18,19.19,21.54,20.55,45.0,87.8,37.78,68.85,4.63,57.7,55.33,35.66
SnapKV,SnapKV,256,23.97,18.24,34.43,42.07,34.02,20.96,20.67,22.38,22.35,62.5,90.14,39.44,69.5,5.25,59.66,56.63,38.89
SnapKV,SnapKV,512,24.43,23.42,37.4,42.75,34.44,20.36,22.31,22.61,24.08,70.5,90.52,40.45,69.5,5.31,59.94,56.14,40.26
SnapKV,SnapKV,1024,24.91,25.92,37.67,43.84,35.07,20.06,24.29,22.43,25.57,73.0,90.56,40.54,69.25,5.16,60.27,56.25,40.92
SnapKV,SnapKV,2048,25.86,29.5,39.41,43.84,35.88,21.41,25.85,23.23,26.32,74.0,90.56,41.68,69.25,5.16,59.86,55.63,41.72
PyramidKV,PyramidKV,64,21.24,13.93,29.56,34.45,23.49,16.03,18.74,21.83,19.14,58.5,88.31,37.01,69.5,4.79,54.08,49.48,35.01
PyramidKV,PyramidKV,128,21.86,17.12,31.9,38.59,28.82,18.67,19.98,22.35,20.72,67.0,89.35,38.37,69.0,5.42,57.63,52.04,37.43
PyramidKV,PyramidKV,256,23.97,20.24,35.41,42.47,31.44,20.12,21.27,22.74,22.6,71.5,90.48,40.0,69.5,5.33,58.38,53.88,39.33
PyramidKV,PyramidKV,512,24.71,23.6,35.19,43.26,32.12,20.43,23.34,22.97,24.27,72.0,90.61,40.8,69.5,5.71,59.22,55.1,40.18
PyramidKV,PyramidKV,1024,25.38,26.37,37.83,43.93,34.37,21.69,24.63,22.56,25.54,72.5,90.56,41.68,69.25,5.38,59.65,55.37,41.04
PyramidKV,PyramidKV,2048,25.4,29.69,38.49,43.69,35.86,21.53,27.09,23.29,26.14,73.5,90.56,42.17,69.25,4.93,59.9,55.47,41.69
DynamicKV,DynamicKV,64,21.82,11.94,30.08,33.93,24.98,17.42,18.54,22.13,18.99,53.5,87.12,35.45,69.5,4.98,54.17,50.44,34.69
DynamicKV,DynamicKV,128,22.23,14.85,34.3,41.23,28.93,19.87,20.37,22.22,21.11,66.0,89.34,38.7,69.5,4.22,57.64,54.34,37.8
DynamicKV,DynamicKV,256,23.64,19.57,36.59,43.29,33.46,20.13,21.66,22.52,22.89,71.0,90.02,39.8,69.5,4.97,60.41,55.78,39.7
DynamicKV,DynamicKV,512,24.79,24.7,36.63,43.6,32.51,20.13,22.98,22.81,24.57,72.0,90.39,40.79,69.5,5.61,61.33,57.34,40.6
DynamicKV,DynamicKV,1024,25.13,26.99,39.03,43.9,34.22,20.13,24.27,22.79,25.4,72.5,90.56,41.65,69.5,5.31,60.79,56.83,41.19
DynamicKV,DynamicKV,2048,25.44,28.7,39.47,43.53,34.99,21.42,26.06,23.33,26.33,73.0,90.56,42.49,69.25,5.23,59.52,56.18,41.59
SurrogateKV,SurrogateKV,64,21.13,12.15,33.13,37.02,28.92,17.21,15.88,21.38,15.31,51.0,87.64,33.18,69.33,5.38,54.08,51.88,34.66
SurrogateKV,SurrogateKV,128,22.98,14.14,35.4,43.71,32.52,20.95,18.7,21.49,19.22,66.0,89.73,36.31,69.5,5.25,56.78,55.14,37.99
SurrogateKV,SurrogateKV,256,23.81,19.72,35.67,44.44,33.44,21.03,20.03,22.49,21.95,69.5,90.44,39.59,69.0,5.25,60.47,56.17,39.56
SurrogateKV,SurrogateKV,512,23.14,25.95,39.47,44.22,33.89,21.36,21.89,22.96,23.72,72.0,90.52,40.73,69.5,5.42,61.9,57.44,40.88
SurrogateKV,SurrogateKV,1024,25.67,29.93,38.35,44.36,34.57,21.1,24.25,22.88,25.18,72.5,90.56,41.56,69.0,5.14,60.69,57.5,41.45
SurrogateKV,SurrogateKV,2048,26.29,30.73,39.15,43.89,35.35,21.65,26.29,23.23,26.22,73.0,90.56,42.24,68.75,5.14,59.66,56.37,41.78
