type_slug,type,method,target_budget_tokens,score,num_datasets
single_document_qa,Single-Document QA,FullKV,,32.4733,3
single_document_qa,Single-Document QA,H2O,64,17.06,3
single_document_qa,Single-Document QA,H2O,128,21.0967,3
single_document_qa,Single-Document QA,H2O,256,23.41,3
single_document_qa,Single-Document QA,H2O,512,26.1033,3
single_document_qa,Single-Document QA,H2O,1024,29.0467,3
single_document_qa,Single-Document QA,H2O,2048,30.71,3
single_document_qa,Single-Document QA,SnapKV,64,18.7667,3
single_document_qa,Single-Document QA,SnapKV,128,22.21,3
single_document_qa,Single-Document QA,SnapKV,256,25.5467,3
single_document_qa,Single-Document QA,SnapKV,512,28.4167,3
single_document_qa,Single-Document QA,SnapKV,1024,29.5,3
single_document_qa,Single-Document QA,SnapKV,2048,31.59,3
single_document_qa,Single-Document QA,PyramidKV,64,21.5767,3
single_document_qa,Single-Document QA,PyramidKV,128,23.6267,3
single_document_qa,Single-Document QA,PyramidKV,256,26.54,3
single_document_qa,Single-Document QA,PyramidKV,512,27.8333,3
single_document_qa,Single-Document QA,PyramidKV,1024,29.86,3
single_document_qa,Single-Document QA,PyramidKV,2048,31.1933,3
single_document_qa,Single-Document QA,DynamicKV,64,21.28,3
single_document_qa,Single-Document QA,DynamicKV,128,23.7933,3
single_document_qa,Single-Document QA,DynamicKV,256,26.6,3
single_document_qa,Single-Document QA,DynamicKV,512,28.7067,3
single_document_qa,Single-Document QA,DynamicKV,1024,30.3833,3
single_document_qa,Single-Document QA,DynamicKV,2048,31.2033,3
single_document_qa,Single-Document QA,SurrogateKV,64,22.1367,3
single_document_qa,Single-Document QA,SurrogateKV,128,24.1733,3
single_document_qa,Single-Document QA,SurrogateKV,256,26.4,3
single_document_qa,Single-Document QA,SurrogateKV,512,29.52,3
single_document_qa,Single-Document QA,SurrogateKV,1024,31.3167,3
single_document_qa,Single-Document QA,SurrogateKV,2048,32.0567,3
multi_document_qa,Multi-Document QA,FullKV,,33.4867,3
multi_document_qa,Multi-Document QA,H2O,64,27.4433,3
multi_document_qa,Multi-Document QA,H2O,128,27.6067,3
multi_document_qa,Multi-Document QA,H2O,256,29.6067,3
multi_document_qa,Multi-Document QA,H2O,512,30.3867,3
multi_document_qa,Multi-Document QA,H2O,1024,30.6867,3
multi_document_qa,Multi-Document QA,H2O,2048,32.4533,3
multi_document_qa,Multi-Document QA,SnapKV,64,27.2833,3
multi_document_qa,Multi-Document QA,SnapKV,128,28.5467,3
multi_document_qa,Multi-Document QA,SnapKV,256,32.35,3
multi_document_qa,Multi-Document QA,SnapKV,512,32.5167,3
multi_document_qa,Multi-Document QA,SnapKV,1024,32.99,3
multi_document_qa,Multi-Document QA,SnapKV,2048,33.71,3
multi_document_qa,Multi-Document QA,PyramidKV,64,24.6567,3
multi_document_qa,Multi-Document QA,PyramidKV,128,28.6933,3
multi_document_qa,Multi-Document QA,PyramidKV,256,31.3433,3
multi_document_qa,Multi-Document QA,PyramidKV,512,31.9367,3
multi_document_qa,Multi-Document QA,PyramidKV,1024,33.33,3
multi_document_qa,Multi-Document QA,PyramidKV,2048,33.6933,3
multi_document_qa,Multi-Document QA,DynamicKV,64,25.4433,3
multi_document_qa,Multi-Document QA,DynamicKV,128,30.01,3
multi_document_qa,Multi-Document QA,DynamicKV,256,32.2933,3
multi_document_qa,Multi-Document QA,DynamicKV,512,32.08,3
multi_document_qa,Multi-Document QA,DynamicKV,1024,32.75,3
multi_document_qa,Multi-Document QA,DynamicKV,2048,33.3133,3
multi_document_qa,Multi-Document QA,SurrogateKV,64,27.7167,3
multi_document_qa,Multi-Document QA,SurrogateKV,128,32.3933,3
multi_document_qa,Multi-Document QA,SurrogateKV,256,32.97,3
multi_document_qa,Multi-Document QA,SurrogateKV,512,33.1567,3
multi_document_qa,Multi-Document QA,SurrogateKV,1024,33.3433,3
multi_document_qa,Multi-Document QA,SurrogateKV,2048,33.63,3
summarization,Summarization,FullKV,,26.1967,3
summarization,Summarization,H2O,64,21.1933,3
summarization,Summarization,H2O,128,22.2933,3
summarization,Summarization,H2O,256,23.25,3
summarization,Summarization,H2O,512,24.2033,3
summarization,Summarization,H2O,1024,24.9,3
summarization,Summarization,H2O,2048,25.72,3
summarization,Summarization,SnapKV,64,17.7233,3
summarization,Summarization,SnapKV,128,20.4267,3
summarization,Summarization,SnapKV,256,21.8,3
summarization,Summarization,SnapKV,512,23.0,3
summarization,Summarization,SnapKV,1024,24.0967,3
summarization,Summarization,SnapKV,2048,25.1333,3
summarization,Summarization,PyramidKV,64,19.9033,3
summarization,Summarization,PyramidKV,128,21.0167,3
summarization,Summarization,PyramidKV,256,22.2033,3
summarization,Summarization,PyramidKV,512,23.5267,3
summarization,Summarization,PyramidKV,1024,24.2433,3
summarization,Summarization,PyramidKV,2048,25.5067,3
summarization,Summarization,DynamicKV,64,19.8867,3
summarization,Summarization,DynamicKV,128,21.2333,3
summarization,Summarization,DynamicKV,256,22.3567,3
summarization,Summarization,DynamicKV,512,23.4533,3
summarization,Summarization,DynamicKV,1024,24.1533,3
summarization,Summarization,DynamicKV,2048,25.24,3
summarization,Summarization,SurrogateKV,64,17.5233,3
summarization,Summarization,SurrogateKV,128,19.8033,3
summarization,Summarization,SurrogateKV,256,21.49,3
summarization,Summarization,SurrogateKV,512,22.8567,3
