method,budget,narrativeqa,qasper,multifieldqa_en,hotpotqa,2wikimqa,musique,gov_report,qmsum,multi_news,trec,triviaqa,samsum,passage_count,passage_retrieval_en,lcc,repobench_p,average
FullKV,,25.56,32.15,39.71,43.56,35.72,21.18,28.76,23.21,26.62,74.0,90.48,42.59,4.71,69.25,59.19,54.05,41.92
H2O,64,19.31,11.33,20.54,34.0,29.85,18.48,19.54,21.92,22.12,40.0,84.3,37.07,5.3,69.25,54.08,49.32,33.53
H2O,128,23.45,14.55,25.29,35.68,29.09,18.05,21.54,21.59,23.75,46.5,88.23,38.46,5.5,68.75,56.56,52.0,35.56
H2O,256,23.41,18.22,28.6,38.2,33.24,17.38,22.94,21.98,24.83,59.5,88.46,40.06,5.02,68.83,59.98,54.28,37.81
H2O,512,23.39,23.16,31.76,41.11,31.63,18.42,24.68,22.36,25.57,69.0,90.37,40.87,5.38,69.5,60.01,57.67,39.68
H2O,1024,24.9,27.2,35.04,41.8,31.72,18.54,25.97,22.57,26.16,73.0,91.32,41.18,5.32,69.25,59.38,57.47,40.68
H2O,2048,26.09,28.86,37.18,43.29,34.09,19.98,27.53,23.03,26.6,73.5,90.93,41.8,5.38,69.5,59.3,57.16,41.51
SnapKV,64,19.77,9.02,27.51,35.97,27.85,18.03,16.14,20.71,16.32,38.5,86.4,36.34,4.78,68.83,53.84,51.83,33.24
SnapKV,128,20.98,13.85,31.8,36.61,29.85,19.18,19.19,21.54,20.55,45.0,87.8,37.78,4.63,68.85,57.7,55.33,35.66
SnapKV,256,23.97,18.24,34.43,42.07,34.02,20.96,20.67,22.38,22.35,62.5,90.14,39.44,5.25,69.5,59.66,56.63,38.89
SnapKV,512,24.43,23.42,37.4,42.75,34.44,20.36,22.31,22.61,24.08,70.5,90.52,40.45,5.31,69.5,59.94,56.14,40.26
SnapKV,1024,24.91,25.92,37.67,43.84,35.07,20.06,24.29,22.43,25.57,73.0,90.56,40.54,5.16,69.25,60.27,56.25,40.92
SnapKV,2048,25.86,29.5,39.41,43.84,35.88,21.41,25.85,23.23,26.32,74.0,90.56,41.68,5.16,69.25,59.86,55.63,41.72
PyramidKV,64,21.24,13.93,29.56,34.45,23.49,16.03,18.74,21.83,19.14,58.5,88.31,37.01,4.79,69.5,54.08,49.48,35.01
PyramidKV,128,21.86,17.12,31.9,38.59,28.82,18.67,19.98,22.35,20.72,67.0,89.35,38.37,5.42,69.0,57.63,52.04,37.43
PyramidKV,256,23.97,20.24,35.41,42.47,31.44,20.12,21.27,22.74,22.6,71.5,90.48,40.0,5.33,69.5,58.38,53.88,39.33
PyramidKV,512,24.71,23.6,35.19,43.26,32.12,20.43,23.34,22.97,24.27,72.0,90.61,40.8,5.71,69.5,59.22,55.1,40.18
PyramidKV,1024,25.38,26.37,37.83,43.93,34.37,21.69,24.63,22.56,25.54,72.5,90.56,41.68,5.38,69.25,59.65,55.37,41.04
PyramidKV,2048,25.4,29.69,38.49,43.69,35.86,21.53,27.09,23.29,26.14,73.5,90.56,42.17,4.93,69.25,59.9,55.47,41.69
Ada-KV,64,20.69,9.67,30.89,40.46,27.77,18.03,16.4,20.83,17.85,39.5,87.78,37.11,4.8,68.33,56.39,54.78,34.45
Ada-KV,128,23.16,17.15,33.99,42.28,35.29,19.34,19.76,22.19,21.04,63.5,90.72,38.71,5.54,69.5,58.5,56.85,38.59
Ada-KV,256,24.52,22.42,37.61,43.9,33.01,20.62,21.48,21.9,22.84,70.0,90.32,39.58,5.37,69.5,60.48,56.34,39.99
Ada-KV,512,25.09,24.57,38.08,43.28,35.02,20.64,22.83,22.62,24.25,73.0,90.61,40.72,5.22,69.25,60.38,56.83,40.77
Ada-KV,1024,25.32,28.84,39.24,43.46,35.61,20.41,24.28,23.1,25.48,73.5,90.56,41.61,4.96,69.25,60.47,56.78,41.43
Ada-KV,2048,25.67,30.8,39.56,43.56,35.79,21.55,25.62,23.46,26.39,74.0,90.56,42.23,4.59,69.25,59.47,55.51,41.75
