model,budget,dataset,examples,base_method,base_score,surrogate_method,surrogate_score,delta
Qwen2.5-14B,128,narrativeqa,20,SnapKV,3.607516,SurrogateKV-Snap,5.490487,1.882971
Qwen2.5-14B,128,qasper,20,SnapKV,7.558550,SurrogateKV-Snap,5.680931,-1.877619
Qwen2.5-14B,128,hotpotqa,20,SnapKV,9.861034,SurrogateKV-Snap,10.155683,0.294649
Qwen2.5-14B,128,gov_report,20,SnapKV,19.249524,SurrogateKV-Snap,17.925827,-1.323697
Qwen2.5-14B,128,passage_retrieval_en,20,SnapKV,85.833333,SurrogateKV-Snap,89.166667,3.333334
Qwen2.5-14B,128,lcc,20,SnapKV,55.950000,SurrogateKV-Snap,56.950000,1.000000
Qwen2.5-14B,512,narrativeqa,20,SnapKV,4.160137,SurrogateKV-Snap,4.481656,0.321519
Qwen2.5-14B,512,qasper,20,SnapKV,10.458677,SurrogateKV-Snap,9.889260,-0.569417
Qwen2.5-14B,512,hotpotqa,20,SnapKV,11.061098,SurrogateKV-Snap,11.101466,0.040368
Qwen2.5-14B,512,gov_report,20,SnapKV,22.920934,SurrogateKV-Snap,23.142532,0.221598
Qwen2.5-14B,512,passage_retrieval_en,20,SnapKV,89.166667,SurrogateKV-Snap,92.500000,3.333333
Qwen2.5-14B,512,lcc,20,SnapKV,58.850000,SurrogateKV-Snap,71.850000,13.000000
Qwen2.5-72B,128,qasper,10,SnapKV,8.61,SurrogateKV-Snap,7.06,-1.55
Qwen2.5-72B,128,hotpotqa,10,SnapKV,13.76,SurrogateKV-Snap,13.64,-0.12
Qwen2.5-72B,128,passage_retrieval_en,10,SnapKV,76.67,SurrogateKV-Snap,73.33,-3.34
Qwen2.5-72B,128,lcc,10,SnapKV,54.70,SurrogateKV-Snap,58.00,3.30
Qwen2.5-72B,512,qasper,10,SnapKV,9.81,SurrogateKV-Snap,14.60,4.79
Qwen2.5-72B,512,hotpotqa,10,SnapKV,16.53,SurrogateKV-Snap,22.66,6.13
Qwen2.5-72B,512,passage_retrieval_en,10,SnapKV,91.67,SurrogateKV-Snap,90.00,-1.67
Qwen2.5-72B,512,lcc,10,SnapKV,67.40,SurrogateKV-Snap,66.80,-0.60
