Method,method,K,Single QA,Multi QA,Sum,Few-shot,Synthetic,Code,Avg,Retention vs FullKV
FullKV,FullKV,FullKV,32.47,33.49,26.2,69.02,36.98,56.62,41.92,100.0
H2O,H2O,64,17.06,27.44,21.19,53.79,37.27,51.7,33.53,79.97
H2O,H2O,128,21.1,27.61,22.29,57.73,37.12,54.28,35.56,84.83
H2O,H2O,512,26.1,30.39,24.2,66.75,37.44,58.84,39.68,94.65
SnapKV,SnapKV,64,18.77,27.28,17.72,53.75,36.8,52.84,33.24,79.29
SnapKV,SnapKV,128,22.21,28.55,20.43,56.86,36.74,56.52,35.66,85.08
SnapKV,SnapKV,512,28.42,32.52,23.0,67.16,37.41,58.04,40.26,96.04
PyramidKV,PyramidKV,64,21.58,24.66,19.9,61.27,37.15,51.78,35.01,83.5
PyramidKV,PyramidKV,128,23.63,28.69,21.02,64.91,37.21,54.84,37.43,89.28
PyramidKV,PyramidKV,512,27.83,31.94,23.53,67.8,37.6,57.16,40.18,95.84
DynamicKV,DynamicKV,64,21.28,25.44,19.89,58.69,37.24,52.3,34.69,82.74
DynamicKV,DynamicKV,128,23.79,30.01,21.23,64.68,36.86,55.99,37.8,90.18
DynamicKV,DynamicKV,512,28.71,32.08,23.45,67.73,37.55,59.34,40.6,96.86
SurrogateKV,SurrogateKV,64,22.14,27.72,17.52,57.27,37.35,52.98,34.66,82.69
SurrogateKV,SurrogateKV,128,24.17,32.39,19.8,64.01,37.38,55.96,37.99,90.62
SurrogateKV,SurrogateKV,512,29.52,33.16,22.86,67.75,37.46,59.67,40.88,97.52
