Method,method,K,Avg
H2O,H2O,64,33.5256
H2O,H2O,128,35.5619
H2O,H2O,256,37.8081
H2O,H2O,512,39.68
H2O,H2O,1024,40.6762
H2O,H2O,2048,41.5138
SnapKV,SnapKV,64,33.24
SnapKV,SnapKV,128,35.665
SnapKV,SnapKV,256,38.8881
SnapKV,SnapKV,512,40.26
SnapKV,SnapKV,1024,40.9244
SnapKV,SnapKV,2048,41.715
PyramidKV,PyramidKV,64,35.005
PyramidKV,PyramidKV,128,37.4263
PyramidKV,PyramidKV,256,39.3331
PyramidKV,PyramidKV,512,40.1769
PyramidKV,PyramidKV,1024,41.0431
PyramidKV,PyramidKV,2048,41.685
DynamicKV,DynamicKV,64,34.6869
DynamicKV,DynamicKV,128,37.8031
DynamicKV,DynamicKV,256,39.7019
DynamicKV,DynamicKV,512,40.605
DynamicKV,DynamicKV,1024,41.1875
DynamicKV,DynamicKV,2048,41.5938
SurrogateKV,SurrogateKV,64,34.6638
SurrogateKV,SurrogateKV,128,37.9888
SurrogateKV,SurrogateKV,256,39.5625
SurrogateKV,SurrogateKV,512,40.8819
SurrogateKV,SurrogateKV,1024,41.4525
SurrogateKV,SurrogateKV,2048,41.7825
