method,K,raw_rate,surrogate_rate,drop_rate,surrogate_slot_rate_vs_full,examples
SurrogateKV-Snap,64,0.008119,0.717899,0.273982,0.000426,3750
SurrogateKV-Snap,128,0.017874,0.704473,0.277653,0.000880,3750
SurrogateKV-Snap,256,0.037985,0.672141,0.289874,0.001645,3748
SurrogateKV-Snap,512,0.078986,0.556434,0.364580,0.002300,3745
SurrogateKV-Snap,1024,0.160847,0.378901,0.460252,0.002565,3718
SurrogateKV-Snap,2048,0.305615,0.227859,0.466526,0.002671,3414
SurrogateKV-Dynamic,64,0.008053,0.928848,0.063099,0.000474,3750
SurrogateKV-Dynamic,128,0.017081,0.835917,0.147002,0.000953,3750
SurrogateKV-Dynamic,256,0.037133,0.720609,0.242257,0.001626,3748
SurrogateKV-Dynamic,512,0.078808,0.542195,0.378998,0.001970,3745
SurrogateKV-Dynamic,1024,0.161105,0.348323,0.490572,0.002154,3718
SurrogateKV-Dynamic,2048,0.304156,0.195244,0.500600,0.002321,3414
SurrogateKV-Ada,64,0.004515,0.885588,0.109897,0.000355,3750
SurrogateKV-Ada,128,0.014019,0.849134,0.136847,0.000870,3750
SurrogateKV-Ada,256,0.033909,0.747201,0.218890,0.001501,3748
SurrogateKV-Ada,512,0.075451,0.581312,0.343237,0.001989,3745
SurrogateKV-Ada,1024,0.157724,0.393577,0.448699,0.002274,3718
SurrogateKV-Ada,2048,0.303393,0.230827,0.465780,0.002347,3414
