method,K,raw_region_pct,surrogate_coverage_pct,drop_region_pct,surrogate_slot_pct_cache_budget,examples
SurrogateKV-Snap,64,1.126254,71.547463,27.326283,4.096823,3750
SurrogateKV-Snap,128,2.492252,69.302950,28.204798,4.233594,3750
SurrogateKV-Snap,256,5.215783,65.100800,29.683417,3.960507,3748
SurrogateKV-Snap,512,10.717330,52.513753,36.768918,2.769713,3745
SurrogateKV-Snap,1024,21.186675,34.803048,44.010277,1.554069,3718
SurrogateKV-Snap,2048,35.440043,20.918569,43.641388,0.862195,3414
SurrogateKV-Dynamic,64,1.115013,91.931653,6.953334,4.565547,3750
SurrogateKV-Dynamic,128,2.406786,81.717261,15.875953,4.585794,3750
SurrogateKV-Dynamic,256,5.127630,69.775826,25.096545,3.914966,3748
SurrogateKV-Dynamic,512,10.693377,51.401852,37.904770,2.373580,3745
SurrogateKV-Dynamic,1024,21.202247,32.362181,46.435572,1.305458,3718
SurrogateKV-Dynamic,2048,35.417963,18.190013,46.392024,0.747536,3414
SurrogateKV-Ada,64,0.633001,87.759617,11.607382,3.406955,3750
SurrogateKV-Ada,128,1.975449,83.923929,14.100622,4.171310,3750
SurrogateKV-Ada,256,4.690265,72.893152,22.416583,3.600194,3748
SurrogateKV-Ada,512,10.283194,55.765800,33.951005,2.386795,3745
SurrogateKV-Ada,1024,20.839368,36.990729,42.169904,1.372939,3718
SurrogateKV-Ada,2048,35.224516,21.633802,43.141683,0.755100,3414
